                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    149,                0.82397,                 0.5388,                 1.0292,                 0.7766,                0.73788,                0.80115,                0.44817,                 1.5955,                 1.4572,                 1.7487,             0.00083969,             0.00083969,             0.00083969
                    150,                 0.8249,                0.54163,                 1.0063,                0.71924,                0.78118,                0.79377,                0.44483,                 1.5677,                 1.3972,                 1.7354,             0.00083786,             0.00083786,             0.00083786
                    151,                0.82208,                0.53846,                 1.0362,                0.76063,                0.73072,                 0.8064,                0.46165,                 1.5618,                 1.2922,                 1.7352,             0.00083603,             0.00083603,             0.00083603
                    152,                0.81299,                0.54891,                 1.0012,                0.79425,                0.72668,                0.81611,                0.47029,                 1.5954,                 1.3851,                 1.7719,             0.00083419,             0.00083419,             0.00083419
                    153,                0.81724,                 0.5311,                 1.0082,                0.86479,                0.74592,                0.81983,                0.46068,                 1.6527,                 1.3407,                  1.822,             0.00083236,             0.00083236,             0.00083236
                    154,                0.83168,                0.55079,                 1.0062,                0.86109,                0.68003,                 0.7998,                0.45582,                 1.6413,                 1.4049,                 1.8535,             0.00083053,             0.00083053,             0.00083053
                    155,                0.81811,                0.53104,                0.99465,                0.78074,                0.70018,                0.76406,                  0.443,                 1.6408,                 1.4746,                 1.8348,             0.00082869,             0.00082869,             0.00082869
                    156,                0.77878,                0.51914,                0.98717,                0.74271,                0.71287,                0.75925,                0.45437,                 1.6529,                 1.4569,                 1.8456,             0.00082686,             0.00082686,             0.00082686
                    157,                0.80717,                0.53257,                 1.0057,                0.76236,                0.76825,                0.75048,                0.44472,                 1.6245,                 1.4667,                 1.8413,             0.00082503,             0.00082503,             0.00082503
                    158,                0.83997,                0.52935,                  1.003,                0.84743,                0.75571,                0.76997,                0.45542,                 1.5509,                 1.4651,                 1.7712,              0.0008232,              0.0008232,              0.0008232
                    159,                0.81659,                0.53328,                0.98146,                0.87953,                0.76785,                0.78817,                0.47222,                  1.577,                 1.4092,                 1.7928,             0.00082136,             0.00082136,             0.00082136
                    160,                0.80182,                0.52393,                0.99101,                0.84493,                0.74941,                0.80927,                0.47761,                 1.6003,                 1.2996,                 1.8172,             0.00081953,             0.00081953,             0.00081953
                    161,                0.79266,                0.51075,                 0.9826,                0.86613,                0.69823,                0.82672,                0.49136,                 1.5823,                 1.2866,                 1.7867,              0.0008177,              0.0008177,              0.0008177
                    162,                0.77973,                0.52111,                0.98247,                0.76017,                0.79619,                 0.8205,                0.47969,                 1.5761,                 1.3555,                 1.7741,             0.00081586,             0.00081586,             0.00081586
                    163,                0.83416,                0.53783,                 1.0169,                0.90604,                0.71318,                0.83826,                 0.4874,                 1.5719,                 1.1868,                 1.7513,             0.00081403,             0.00081403,             0.00081403
                    164,                0.78964,                0.51234,                0.98502,                0.86653,                0.74193,                0.83735,                0.49225,                 1.5831,                 1.1746,                  1.778,              0.0008122,              0.0008122,              0.0008122
                    165,                0.81246,                0.52787,                0.98685,                0.88211,                0.73941,                0.84252,                 0.4991,                 1.5363,                 1.2026,                 1.7352,             0.00081036,             0.00081036,             0.00081036
                    166,                0.80319,                0.51631,                 1.0035,                0.90225,                0.76377,                0.83838,                0.51151,                 1.5525,                 1.1573,                 1.7481,             0.00080853,             0.00080853,             0.00080853
                    167,                0.79159,                0.51115,                0.99659,                0.82428,                0.74065,                0.81901,                0.49624,                 1.5848,                 1.2545,                   1.75,              0.0008067,              0.0008067,              0.0008067
                    168,                0.76295,                0.50798,                0.98527,                0.83452,                0.73619,                0.81422,                0.48923,                 1.5926,                 1.3669,                 1.7625,             0.00080486,             0.00080486,             0.00080486
                    169,                0.76883,                0.50639,                0.97412,                0.88716,                 0.7328,                0.81516,                 0.4823,                 1.6017,                 1.4449,                 1.7733,             0.00080303,             0.00080303,             0.00080303
                    170,                0.79035,                0.50978,                0.99543,                0.80941,                0.77399,                0.82137,                0.46531,                 1.6065,                 1.5777,                 1.7806,              0.0008012,              0.0008012,              0.0008012
                    171,                0.79414,                0.51497,                0.99207,                0.76802,                0.76065,                0.80848,                0.46402,                 1.6377,                 1.5976,                 1.8158,             0.00079936,             0.00079936,             0.00079936
                    172,                0.77393,                0.49177,                0.96892,                0.82914,                0.75592,                0.81351,                0.45194,                 1.6741,                 1.5002,                 1.8489,             0.00079753,             0.00079753,             0.00079753
                    173,                 0.7404,                0.50066,                0.97446,                0.79219,                0.73013,                0.81363,                0.46725,                 1.6524,                 1.4376,                 1.8492,              0.0007957,              0.0007957,              0.0007957
                    174,                0.76956,                0.49298,                0.97535,                0.81256,                0.72058,                0.80151,                0.47252,                 1.5991,                 1.3873,                 1.7943,             0.00079387,             0.00079387,             0.00079387
                    175,                0.78017,                0.50221,                0.97651,                0.84021,                0.74768,                0.82358,                0.47915,                   1.58,                 1.3301,                 1.7709,             0.00079203,             0.00079203,             0.00079203
                    176,                0.78359,                0.53485,                0.99152,                0.81934,                0.78123,                0.83448,                0.48043,                 1.5612,                 1.2779,                 1.7523,              0.0007902,              0.0007902,              0.0007902
                    177,                0.80056,                0.51423,                0.99911,                0.82527,                0.75577,                0.82962,                0.49192,                 1.5392,                 1.1876,                 1.7455,             0.00078837,             0.00078837,             0.00078837
                    178,                0.75317,                0.48723,                0.97452,                0.82071,                0.75092,                  0.819,                0.48977,                 1.5443,                 1.2626,                 1.7614,             0.00078653,             0.00078653,             0.00078653
                    179,                0.76203,                0.49467,                0.99116,                 0.8573,                0.69495,                 0.8203,                0.47249,                 1.5556,                 1.2841,                 1.7612,              0.0007847,              0.0007847,              0.0007847
                    180,                 0.7723,                0.49441,                0.98063,                0.82933,                0.73843,                0.81014,                0.47435,                 1.5306,                 1.2578,                 1.7318,             0.00078287,             0.00078287,             0.00078287
                    181,                0.76917,                0.50655,                0.97823,                0.85866,                0.73854,                0.82457,                0.47715,                 1.5472,                 1.2971,                 1.7445,             0.00078103,             0.00078103,             0.00078103
                    182,                0.77643,                0.49323,                0.97397,                0.79858,                0.74402,                0.81318,                0.46428,                 1.4961,                 1.2744,                 1.7132,              0.0007792,              0.0007792,              0.0007792
                    183,                0.72766,                0.48724,                0.95568,                0.79235,                0.75363,                0.82098,                0.47469,                 1.5137,                 1.2726,                 1.7355,             0.00077737,             0.00077737,             0.00077737
                    184,                0.72846,                0.47321,                0.96319,                0.78145,                0.75439,                0.81673,                0.48806,                 1.5176,                 1.2954,                  1.739,             0.00077553,             0.00077553,             0.00077553
                    185,                0.74437,                0.48254,                0.96949,                0.82351,                0.78687,                0.83078,                0.48054,                  1.568,                 1.3668,                 1.7811,              0.0007737,              0.0007737,              0.0007737
                    186,                0.76353,                0.49206,                0.97099,                 0.8175,                0.76393,                0.80836,                0.48996,                 1.5137,                 1.4453,                 1.7361,             0.00077187,             0.00077187,             0.00077187
                    187,                0.71835,                0.48104,                0.96847,                0.79637,                 0.7687,                0.79848,                0.48701,                 1.5306,                 1.4108,                 1.7448,             0.00077003,             0.00077003,             0.00077003
                    188,                  0.747,                0.50756,                0.97672,                0.76612,                0.77297,                0.79843,                0.47138,                 1.5456,                 1.4966,                 1.7777,              0.0007682,              0.0007682,              0.0007682
                    189,                0.75685,                0.48834,                0.97509,                0.78274,                 0.7343,                 0.7699,                0.46461,                 1.5071,                 1.5857,                 1.7229,             0.00076637,             0.00076637,             0.00076637
                    190,                0.75561,                0.48823,                0.98209,                0.81876,                 0.6869,                0.77135,                0.46388,                 1.5141,                 1.6403,                 1.7581,             0.00076453,             0.00076453,             0.00076453
                    191,                0.71871,                0.48941,                0.96431,                0.79488,                0.69953,                0.77767,                  0.461,                 1.5477,                 1.5846,                  1.802,              0.0007627,              0.0007627,              0.0007627
                    192,                0.70336,                0.48744,                0.95438,                0.72681,                0.78964,                0.79184,                0.48334,                 1.5648,                 1.3844,                 1.8215,             0.00076087,             0.00076087,             0.00076087
                    193,                0.74149,                0.48466,                0.96913,                0.83385,                0.74283,                0.82059,                0.49101,                 1.5985,                 1.2329,                 1.8469,             0.00075904,             0.00075904,             0.00075904
                    194,                0.73302,                0.48648,                0.94664,                0.79336,                0.83409,                0.82181,                0.48304,                 1.6136,                   1.18,                 1.8654,              0.0007572,              0.0007572,              0.0007572
                    195,                0.77613,                0.49688,                0.97845,                0.82166,                0.81041,                 0.8151,                0.47069,                 1.6219,                 1.2239,                 1.8928,             0.00075537,             0.00075537,             0.00075537
                    196,                0.73312,                0.47677,                0.95346,                0.80433,                0.78319,                0.77531,                0.45758,                 1.6274,                 1.4058,                 1.9219,             0.00075354,             0.00075354,             0.00075354
                    197,                0.72669,                0.46408,                0.95617,                 0.7566,                0.80415,                0.76868,                0.44225,                 1.6319,                 1.4833,                 1.9268,              0.0007517,              0.0007517,              0.0007517
                    198,                0.74923,                0.47922,                0.98325,                0.79702,                0.80201,                0.79238,                 0.4641,                 1.6038,                 1.4775,                 1.8633,             0.00074987,             0.00074987,             0.00074987
                    199,                0.74656,                0.47334,                0.97486,                0.81135,                  0.808,                0.81043,                 0.4776,                 1.6139,                 1.4902,                 1.8536,             0.00074804,             0.00074804,             0.00074804
                    200,                0.74966,                0.47626,                0.95985,                0.83641,                0.79099,                0.82516,                0.48831,                 1.5463,                 1.4428,                 1.7728,              0.0007462,              0.0007462,              0.0007462
                    201,                0.74964,                 0.4895,                0.97441,                0.87995,                 0.7757,                0.82393,                0.48799,                 1.5671,                  1.423,                 1.7882,             0.00074437,             0.00074437,             0.00074437
                    202,                0.76326,                0.48032,                0.97632,                0.84051,                0.76761,                 0.8169,                 0.4847,                 1.5668,                 1.4773,                 1.7905,             0.00074254,             0.00074254,             0.00074254
                    203,                0.72731,                0.47485,                 0.9506,                0.78697,                0.73793,                 0.8208,                0.47479,                 1.5636,                 1.5084,                 1.8052,              0.0007407,              0.0007407,              0.0007407
                    204,                0.71007,                0.47558,                0.95425,                0.94846,                 0.6659,                 0.8265,                0.48215,                 1.5296,                 1.4957,                 1.7675,             0.00073887,             0.00073887,             0.00073887
                    205,                0.69666,                0.46371,                0.94837,                0.81497,                0.72793,                0.82156,                0.49166,                 1.5082,                 1.4098,                 1.7482,             0.00073704,             0.00073704,             0.00073704
                    206,                0.73789,                0.48556,                0.96107,                0.83425,                0.74414,                0.82421,                0.49774,                 1.5244,                 1.3912,                 1.7548,              0.0007352,              0.0007352,              0.0007352
                    207,                0.75419,                0.47473,                 0.9564,                0.77284,                0.78965,                 0.8232,                0.50261,                 1.5414,                  1.451,                 1.7532,             0.00073337,             0.00073337,             0.00073337
                    208,                0.74699,                  0.475,                 0.9557,                0.83383,                0.72444,                0.82002,                 0.4975,                 1.5443,                 1.4657,                 1.7421,             0.00073154,             0.00073154,             0.00073154
                    209,                0.70143,                0.46171,                0.95299,                0.92393,                0.71748,                0.83293,                0.48937,                 1.5397,                 1.4197,                 1.7415,              0.0007297,              0.0007297,              0.0007297
                    210,                0.70617,                0.46439,                0.95454,                0.87044,                0.76341,                0.84645,                0.49856,                  1.545,                 1.3507,                  1.757,             0.00072787,             0.00072787,             0.00072787
                    211,                0.76549,                0.49283,                0.98153,                0.86678,                0.80736,                0.85541,                0.49837,                 1.5448,                 1.2923,                 1.7345,             0.00072604,             0.00072604,             0.00072604
                    212,                0.74375,                0.46114,                0.94708,                0.89865,                0.77428,                0.83135,                0.48483,                 1.5663,                 1.3338,                 1.7817,             0.00072421,             0.00072421,             0.00072421
                    213,                 0.7314,                0.46895,                0.96858,                 0.8216,                0.78961,                0.81304,                0.48327,                 1.5604,                 1.3547,                 1.7904,             0.00072237,             0.00072237,             0.00072237
                    214,                0.70779,                0.45699,                0.94736,                0.89753,                0.74542,                0.82041,                0.48266,                 1.5842,                 1.3576,                 1.7723,             0.00072054,             0.00072054,             0.00072054
                    215,                0.71925,                0.44916,                0.95826,                0.75367,                0.80424,                0.82136,                0.47512,                 1.5892,                  1.355,                 1.7841,             0.00071871,             0.00071871,             0.00071871
                    216,                0.72204,                0.48803,                0.97923,                0.80657,                0.75953,                0.82827,                 0.4758,                 1.5942,                   1.35,                 1.8015,             0.00071687,             0.00071687,             0.00071687
                    217,                0.74727,                 0.4636,                0.94948,                0.78581,                 0.8105,                0.82913,                0.49524,                 1.5883,                 1.3834,                 1.7904,             0.00071504,             0.00071504,             0.00071504
                    218,                0.75086,                0.48161,                0.98207,                0.81492,                0.81859,                0.84749,                0.49735,                 1.6003,                   1.37,                 1.8004,             0.00071321,             0.00071321,             0.00071321
                    219,                0.72228,                0.47228,                0.94451,                0.87249,                0.78668,                0.85842,                0.50123,                 1.5975,                  1.339,                 1.7794,             0.00071137,             0.00071137,             0.00071137
                    220,                0.72646,                0.46003,                0.97163,                0.82946,                0.77802,                0.83461,                0.49717,                  1.596,                 1.4619,                 1.8095,             0.00070954,             0.00070954,             0.00070954
                    221,                0.71439,                0.46022,                0.96048,                0.90363,                0.72467,                0.83866,                0.49032,                 1.6095,                 1.4327,                 1.8424,             0.00070771,             0.00070771,             0.00070771
                    222,                0.67791,                0.46006,                0.94793,                0.83797,                0.77232,                 0.8414,                0.48649,                 1.6336,                 1.3486,                 1.8574,             0.00070587,             0.00070587,             0.00070587
                    223,                0.68464,                 0.4526,                0.95354,                0.81705,                0.81267,                0.84102,                0.47999,                 1.6194,                 1.2332,                 1.8196,             0.00070404,             0.00070404,             0.00070404
                    224,                0.71184,                0.45753,                 0.9683,                0.81878,                0.83791,                0.85759,                0.49581,                  1.579,                 1.2314,                 1.7763,             0.00070221,             0.00070221,             0.00070221
                    225,                0.69887,                0.44741,                0.94502,                 0.8157,                0.77342,                0.85772,                0.50226,                 1.5336,                 1.3428,                  1.732,             0.00070037,             0.00070037,             0.00070037
                    226,                0.70524,                0.44012,                0.95735,                0.85725,                0.74052,                0.85943,                0.50189,                 1.5357,                 1.2896,                 1.7522,             0.00069854,             0.00069854,             0.00069854
                    227,                0.69374,                 0.4687,                0.96558,                 0.8655,                 0.7409,                0.84722,                0.50918,                 1.5367,                 1.2222,                 1.7729,             0.00069671,             0.00069671,             0.00069671
                    228,                0.70247,                0.44951,                0.95584,                0.88598,                0.75732,                0.85498,                0.51744,                 1.5279,                 1.2386,                 1.7521,             0.00069487,             0.00069487,             0.00069487
                    229,                0.68355,                0.45515,                0.94821,                0.78598,                0.76802,                0.81206,                0.50127,                 1.5706,                 1.3747,                 1.7832,             0.00069304,             0.00069304,             0.00069304
                    230,                0.73152,                0.45562,                0.95435,                0.77141,                0.76126,                0.80892,                0.48608,                 1.5875,                 1.5133,                 1.7921,             0.00069121,             0.00069121,             0.00069121
                    231,                0.70486,                0.46971,                 0.9452,                0.76852,                0.73536,                0.80438,                0.47479,                 1.5687,                 1.4476,                 1.7784,             0.00068938,             0.00068938,             0.00068938
                    232,                0.71185,                0.46804,                0.94609,                0.80198,                0.74253,                0.81301,                0.48788,                 1.5817,                 1.3888,                 1.7956,             0.00068754,             0.00068754,             0.00068754
                    233,                0.73186,                0.46599,                  0.951,                0.91915,                0.70015,                0.82442,                0.50928,                 1.5788,                  1.304,                 1.7892,             0.00068571,             0.00068571,             0.00068571
                    234,                0.70455,                0.45314,                0.94109,                0.79738,                0.79062,                0.82831,                0.50881,                 1.5572,                  1.287,                  1.762,             0.00068388,             0.00068388,             0.00068388
                    235,                 0.6783,                0.43385,                0.94819,                 0.8401,                0.76564,                0.83231,                0.51783,                 1.5405,                 1.1925,                 1.7551,             0.00068204,             0.00068204,             0.00068204
                    236,                0.67877,                0.44544,                0.94488,                0.84974,                 0.7579,                0.83262,                0.49705,                 1.5752,                 1.1441,                 1.8137,             0.00068021,             0.00068021,             0.00068021
                    237,                 0.7171,                0.44388,                0.96491,                0.92722,                0.70728,                0.84262,                  0.498,                 1.5907,                 1.2272,                 1.8353,             0.00067838,             0.00067838,             0.00067838
                    238,                0.69475,                0.44785,                0.93526,                0.88093,                0.73402,                 0.8206,                0.48372,                  1.617,                 1.3826,                 1.8372,             0.00067654,             0.00067654,             0.00067654
                    239,                0.71029,                0.45393,                0.93522,                 0.8123,                0.76559,                 0.8153,                0.46904,                 1.6254,                 1.4254,                 1.8329,             0.00067471,             0.00067471,             0.00067471
                    240,                0.70157,                0.44151,                0.93889,                0.82149,                0.77112,                0.82623,                0.48209,                 1.6073,                 1.4457,                  1.815,             0.00067288,             0.00067288,             0.00067288
                    241,                0.68918,                0.44706,                0.93228,                0.82442,                0.79592,                0.82777,                0.48028,                 1.6024,                 1.3705,                 1.8194,             0.00067104,             0.00067104,             0.00067104
                    242,                0.71179,                0.45351,                0.95136,                0.82945,                0.77032,                0.83384,                0.46357,                 1.6487,                 1.4175,                 1.8667,             0.00066921,             0.00066921,             0.00066921
                    243,                0.66507,                 0.4273,                0.92772,                0.82853,                0.78469,                0.83555,                0.47107,                 1.6285,                 1.4066,                 1.8648,             0.00066738,             0.00066738,             0.00066738
                    244,                0.68291,                0.44874,                0.94739,                0.79058,                0.78916,                0.81829,                0.48902,                 1.5801,                 1.3262,                 1.8193,             0.00066554,             0.00066554,             0.00066554
                    245,                0.66585,                0.42907,                0.94475,                0.85759,                0.80293,                0.83053,                 0.4967,                 1.5734,                 1.2935,                 1.7867,             0.00066371,             0.00066371,             0.00066371
                    246,                0.66896,                0.43972,                0.94497,                0.82894,                0.80392,                 0.8206,                0.49288,                 1.5956,                 1.3827,                 1.7836,             0.00066188,             0.00066188,             0.00066188
                    247,                 0.6925,                 0.4495,                0.94369,                0.79491,                0.79382,                 0.8142,                0.49535,                 1.5722,                 1.3739,                 1.7575,             0.00066005,             0.00066005,             0.00066005
                    248,                0.67893,                0.44394,                0.94039,                0.81394,                 0.7368,                0.79898,                 0.4925,                 1.5565,                 1.4044,                 1.7333,             0.00065821,             0.00065821,             0.00065821
                    249,                0.68848,                0.44281,                0.94912,                0.79344,                 0.7232,                0.77615,                 0.4663,                 1.6108,                 1.4388,                 1.7698,             0.00065638,             0.00065638,             0.00065638
                    250,                0.68217,                0.44048,                0.96747,                0.77014,                0.76355,                0.77988,                0.46273,                 1.6285,                 1.5972,                  1.792,             0.00065455,             0.00065455,             0.00065455
                    251,                0.68225,                0.45173,                0.94872,                0.82449,                0.76191,                0.78675,                 0.4627,                 1.6376,                 1.6217,                 1.8091,             0.00065271,             0.00065271,             0.00065271
                    252,                 0.7203,                0.46621,                0.96105,                0.85669,                0.78193,                0.82019,                0.47978,                 1.6288,                 1.5256,                 1.8111,             0.00065088,             0.00065088,             0.00065088
                    253,                0.68395,                0.45539,                0.94638,                0.88337,                0.78678,                0.83682,                0.48554,                 1.5863,                 1.4845,                 1.7773,             0.00064905,             0.00064905,             0.00064905
                    254,                0.67641,                0.44109,                0.94891,                 0.8366,                 0.7393,                0.80559,                0.45569,                 1.5786,                 1.5292,                 1.7959,             0.00064721,             0.00064721,             0.00064721
                    255,                0.66056,                0.42348,                0.95102,                0.80146,                0.76097,                0.81314,                0.46146,                 1.5889,                 1.5145,                 1.8181,             0.00064538,             0.00064538,             0.00064538
                    256,                0.65507,                0.41614,                0.91657,                0.82611,                0.79404,                 0.8305,                0.47316,                  1.594,                 1.4368,                 1.8246,             0.00064355,             0.00064355,             0.00064355
                    257,                0.68546,                0.43081,                0.94896,                0.85872,                0.80505,                0.83508,                0.47555,                 1.6389,                 1.4185,                 1.8698,             0.00064171,             0.00064171,             0.00064171
                    258,                0.66417,                0.43941,                0.94277,                0.86672,                0.80678,                 0.8513,                0.48971,                 1.5982,                 1.4466,                 1.8237,             0.00063988,             0.00063988,             0.00063988
                    259,                0.63577,                 0.4261,                0.92899,                0.87742,                0.81675,                0.86667,                  0.497,                 1.5956,                 1.4225,                 1.8396,             0.00063805,             0.00063805,             0.00063805
                    260,                0.65824,                0.42602,                0.93097,                0.88786,                0.78008,                0.86961,                0.50568,                 1.5809,                 1.4352,                  1.826,             0.00063621,             0.00063621,             0.00063621
                    261,                0.65536,                0.42715,                0.93816,                0.89628,                0.78245,                0.85344,                0.50843,                 1.5678,                 1.4732,                 1.8203,             0.00063438,             0.00063438,             0.00063438
                    262,                0.70163,                0.43811,                0.95987,                0.89614,                0.78523,                0.84687,                0.49315,                 1.6221,                 1.5566,                 1.8878,             0.00063255,             0.00063255,             0.00063255
                    263,                0.65455,                0.42451,                0.92669,                0.84038,                0.81246,                0.84397,                 0.4808,                 1.6614,                 1.5542,                 1.9093,             0.00063071,             0.00063071,             0.00063071
                    264,                0.65951,                0.42988,                0.94874,                0.82145,                0.79839,                0.83061,                 0.4889,                 1.6577,                 1.5091,                 1.9218,             0.00062888,             0.00062888,             0.00062888
                    265,                0.66473,                0.41852,                0.92827,                0.87421,                0.76682,                0.83806,                0.48926,                 1.6639,                 1.4448,                 1.9181,             0.00062705,             0.00062705,             0.00062705
                    266,                0.64827,                0.42325,                0.92822,                0.81484,                0.79519,                0.82652,                0.49273,                 1.6528,                 1.3433,                 1.9026,             0.00062522,             0.00062522,             0.00062522
                    267,                0.66043,                0.42551,                0.92883,                 0.8888,                0.80665,                0.85001,                0.50536,                 1.6436,                 1.2381,                 1.9032,             0.00062338,             0.00062338,             0.00062338
                    268,                0.64856,                0.42572,                0.93003,                 0.9257,                0.80285,                0.85849,                0.51335,                 1.6252,                 1.2415,                 1.8864,             0.00062155,             0.00062155,             0.00062155
                    269,                0.62313,                0.40914,                 0.9223,                0.90351,                0.79123,                0.84753,                0.51504,                 1.6189,                 1.3981,                 1.8808,             0.00061972,             0.00061972,             0.00061972
                    270,                 0.6323,                0.41504,                0.91935,                0.84337,                0.80276,                0.84339,                0.51181,                 1.5739,                   1.53,                 1.8357,             0.00061788,             0.00061788,             0.00061788
                    271,                0.62735,                0.40121,                0.91526,                 0.8788,                0.76886,                0.83699,                0.50632,                 1.5587,                  1.497,                 1.8012,             0.00061605,             0.00061605,             0.00061605
                    272,                0.63455,                0.41602,                0.91279,                0.85778,                0.75002,                0.83689,                0.49589,                 1.5561,                 1.4535,                 1.7812,             0.00061422,             0.00061422,             0.00061422
                    273,                0.66925,                0.43617,                0.95748,                0.87943,                0.76701,                0.83391,                0.50286,                 1.5498,                 1.3743,                 1.7962,             0.00061238,             0.00061238,             0.00061238
                    274,                 0.6753,                0.43508,                0.95189,                0.82755,                0.79601,                 0.8253,                0.48631,                 1.5593,                 1.3158,                 1.7858,             0.00061055,             0.00061055,             0.00061055
                    275,                0.59919,                0.41004,                 0.9182,                0.85031,                0.77461,                0.84246,                0.49288,                  1.583,                 1.2718,                 1.7955,             0.00060872,             0.00060872,             0.00060872
                    276,                0.65054,                0.41903,                0.93197,                0.83918,                0.78759,                0.85558,                0.48992,                 1.5868,                 1.2876,                 1.8094,             0.00060688,             0.00060688,             0.00060688
                    277,                0.63903,                0.41185,                0.92531,                0.77984,                 0.8179,                0.85126,                0.48928,                 1.5687,                 1.2654,                 1.7856,             0.00060505,             0.00060505,             0.00060505
                    278,                0.63505,                0.42207,                0.92451,                0.77552,                0.86306,                0.87087,                0.51089,                 1.5844,                 1.2194,                 1.7816,             0.00060322,             0.00060322,             0.00060322
                    279,                0.64996,                0.43113,                0.93121,                0.80757,                0.85146,                0.86358,                0.51061,                 1.5885,                  1.244,                 1.8096,             0.00060138,             0.00060138,             0.00060138
                    280,                0.63348,                0.42504,                0.92025,                0.83565,                 0.7725,                 0.8475,                0.50204,                 1.5667,                 1.3176,                 1.8058,             0.00059955,             0.00059955,             0.00059955
                    281,                0.67431,                0.42889,                0.93705,                0.85263,                0.74191,                0.83156,                0.50261,                 1.5664,                 1.3205,                 1.8063,             0.00059772,             0.00059772,             0.00059772
                    282,                0.61602,                0.40514,                 0.9227,                0.87493,                 0.7274,                0.79975,                0.48619,                 1.5795,                 1.3101,                 1.8309,             0.00059588,             0.00059588,             0.00059588
                    283,                0.63811,                0.40746,                0.92921,                 0.8618,                0.76487,                0.79046,                0.47809,                 1.5754,                 1.3316,                 1.8346,             0.00059405,             0.00059405,             0.00059405
                    284,                0.63462,                0.40789,                 0.9134,                0.85826,                0.76871,                 0.7867,                0.48934,                  1.585,                 1.4405,                 1.8312,             0.00059222,             0.00059222,             0.00059222
                    285,                0.63875,                0.40454,                0.92472,                0.87422,                  0.742,                0.80643,                 0.4866,                 1.5989,                  1.494,                  1.835,             0.00059039,             0.00059039,             0.00059039
                    286,                0.63698,                0.42262,                0.93855,                0.88371,                0.76474,                0.80643,                0.47051,                 1.6121,                 1.5217,                 1.8432,             0.00058855,             0.00058855,             0.00058855
                    287,                0.62712,                0.41039,                0.91568,                0.88039,                0.74877,                0.81724,                0.48071,                 1.5804,                 1.4651,                 1.7727,             0.00058672,             0.00058672,             0.00058672
                    288,                0.63732,                0.41617,                0.91663,                0.83947,                 0.7333,                0.81601,                0.48057,                 1.5709,                 1.3114,                 1.7663,             0.00058489,             0.00058489,             0.00058489
                    289,                0.67455,                0.43085,                0.95368,                0.86329,                0.71341,                0.82398,                0.48851,                 1.5684,                 1.2815,                 1.7833,             0.00058305,             0.00058305,             0.00058305
                    290,                0.64858,                0.43295,                0.93342,                0.85323,                0.70931,                0.81304,                0.49292,                 1.5698,                 1.3849,                 1.8016,             0.00058122,             0.00058122,             0.00058122
                    291,                0.64854,                0.41683,                0.92833,                0.81223,                0.78792,                0.82411,                0.50124,                 1.5444,                 1.3975,                 1.7605,             0.00057939,             0.00057939,             0.00057939
                    292,                0.62514,                0.41547,                0.93897,                0.78888,                0.82087,                0.83329,                0.50881,                  1.564,                 1.3134,                 1.8096,             0.00057755,             0.00057755,             0.00057755
                    293,                0.68574,                0.42583,                0.94458,                0.82823,                0.78978,                0.82446,                0.50229,                 1.5626,                 1.2594,                 1.8141,             0.00057572,             0.00057572,             0.00057572
                    294,                0.64042,                0.41718,                0.93659,                0.79733,                0.83107,                0.82244,                0.49772,                  1.563,                 1.2669,                 1.8223,             0.00057389,             0.00057389,             0.00057389
                    295,                0.66005,                0.42413,                0.93945,                0.79578,                0.81221,                0.82084,                0.50112,                 1.5699,                 1.3196,                 1.8163,             0.00057205,             0.00057205,             0.00057205
                    296,                 0.6657,                0.42252,                 0.9406,                0.80422,                0.77942,                0.81245,                0.50474,                 1.6051,                 1.3574,                  1.827,             0.00057022,             0.00057022,             0.00057022
                    297,                0.68805,                 0.4233,                0.95993,                0.90464,                0.65728,                0.80813,                0.48864,                 1.6062,                 1.3998,                 1.8351,             0.00056839,             0.00056839,             0.00056839
                    298,                 0.6897,                0.41766,                0.93489,                0.83008,                0.69105,                0.79723,                0.46841,                 1.6282,                 1.4318,                  1.865,             0.00056655,             0.00056655,             0.00056655
                    299,                0.66822,                 0.4139,                0.93938,                0.85853,                0.70896,                0.79288,                 0.4671,                 1.6635,                 1.4436,                 1.8849,             0.00056472,             0.00056472,             0.00056472
                    300,                0.68852,                0.42952,                0.94892,                0.85649,                0.69448,                0.79276,                0.47306,                 1.6557,                  1.464,                 1.8843,             0.00056289,             0.00056289,             0.00056289
                    301,                0.63115,                0.40309,                0.92778,                0.86768,                 0.6851,                0.81048,                0.47535,                 1.6352,                  1.465,                 1.8736,             0.00056105,             0.00056105,             0.00056105
                    302,                0.65187,                0.40578,                0.93014,                0.70483,                0.82243,                0.81966,                0.47144,                 1.6377,                 1.4568,                 1.8797,             0.00055922,             0.00055922,             0.00055922
                    303,                0.63522,                0.40465,                0.91791,                0.74423,                0.84063,                0.82355,                0.47882,                 1.6209,                 1.4162,                 1.8564,             0.00055739,             0.00055739,             0.00055739
                    304,                0.64903,                0.41674,                0.92095,                0.81773,                0.80437,                0.82627,                 0.4852,                  1.623,                 1.3743,                  1.856,             0.00055556,             0.00055556,             0.00055556
